spatial id,temporal id,Target (normal),Normal target,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
1,7,1.0,1.0,1,0,0,1,1,0,1
2,7,0.0,0.0,1,1,0,0,1,0,0
3,7,0.0,0.0,0,1,1,0,0,0,0
4,7,0.0,0.0,0,0,0,0,0,0,0
5,7,0.0,0.0,0,0,0,0,0,0,0
6,7,1.0,1.0,1,1,0,1,0,1,0
7,7,0.0,0.0,0,0,0,0,0,1,0
8,7,0.0,0.0,0,0,0,0,0,0,0
9,7,0.0,0.0,0,0,0,0,0,0,0
1,8,0.0,0.0,0,0,1,1,0,1,1
2,8,0.0,0.0,1,0,0,1,0,0,1
3,8,0.0,0.0,1,1,0,0,0,0,0
4,8,0.0,0.0,0,0,0,0,0,0,0
5,8,0.0,0.0,0,0,0,0,0,0,0
6,8,0.0,0.0,1,0,1,0,1,0,1
7,8,0.0,0.0,0,0,0,0,1,0,0
8,8,0.0,0.0,0,0,0,0,0,0,0
9,8,0.0,0.0,0,0,0,0,0,0,0
1,9,0.0,0.0,0,1,1,0,1,1,0
2,9,0.0,0.0,0,0,1,0,0,1,0
3,9,1.0,1.0,1,0,0,0,0,0,0
4,9,0.0,0.0,0,0,0,0,0,0,0
5,9,0.0,0.0,0,0,0,0,0,0,0
6,9,1.0,1.0,0,1,0,1,0,1,0
7,9,0.0,0.0,0,0,0,1,0,0,0
8,9,1.0,1.0,0,0,0,0,0,0,0
9,9,0.0,0.0,0,0,0,0,0,0,0
1,10,1.0,1.0,1,1,0,1,1,0,0
2,10,0.0,0.0,0,1,0,0,1,0,1
3,10,0.0,0.0,0,0,0,0,0,0,0
4,10,0.0,0.0,0,0,0,0,0,0,0
5,10,1.0,1.0,0,0,0,0,0,0,0
6,10,1.0,1.0,1,0,1,0,1,0,1
7,10,0.0,0.0,0,0,1,0,0,0,0
8,10,0.0,0.0,0,0,0,0,0,0,0
9,10,0.0,0.0,0,0,0,0,0,0,0
1,11,0.0,0.0,1,0,1,1,0,0,0
2,11,0.0,0.0,1,0,0,1,0,1,0
3,11,0.0,0.0,0,0,0,0,0,0,0
4,11,0.0,0.0,0,0,0,0,0,0,0
5,11,1.0,1.0,0,0,0,0,0,0,1
6,11,1.0,1.0,0,1,0,1,0,1,0
7,11,0.0,0.0,0,1,0,0,0,0,0
8,11,0.0,0.0,0,0,0,0,0,0,1
9,11,0.0,0.0,0,0,0,0,0,0,0
1,12,0.0,0.0,0,1,1,0,0,0,1
2,12,0.0,0.0,0,0,1,0,1,0,0
3,12,0.0,0.0,0,0,0,0,0,0,0
4,12,0.0,0.0,0,0,0,0,0,0,0
5,12,0.0,0.0,0,0,0,0,0,1,0
6,12,1.0,1.0,1,0,1,0,1,0,1
7,12,0.0,0.0,1,0,0,0,0,0,0
8,12,0.0,0.0,0,0,0,0,0,1,0
9,12,0.0,0.0,0,0,0,0,0,0,0
1,13,1.0,1.0,1,1,0,0,0,1,0
2,13,0.0,0.0,0,1,0,1,0,0,0
3,13,0.0,0.0,0,0,0,0,0,0,0
4,13,0.0,0.0,0,0,0,0,0,0,0
5,13,0.0,0.0,0,0,0,0,1,0,1
6,13,1.0,1.0,0,1,0,1,0,1,0
7,13,0.0,0.0,0,0,0,0,0,0,0
8,13,0.0,0.0,0,0,0,0,1,0,1
9,13,0.0,0.0,0,0,0,0,0,0,0
1,14,0.0,0.0,1,0,0,0,1,0,0
2,14,0.0,0.0,1,0,1,0,0,0,0
3,14,0.0,0.0,0,0,0,0,0,0,0
4,14,0.0,0.0,0,0,0,0,0,0,0
5,14,0.0,0.0,0,0,0,1,0,1,0
6,14,0.0,0.0,1,0,1,0,1,0,1
7,14,0.0,0.0,0,0,0,0,0,0,0
8,14,0.0,0.0,0,0,0,1,0,1,0
9,14,0.0,0.0,0,0,0,0,0,0,0
1,15,0.0,0.0,0,0,0,1,0,0,0
2,15,1.0,1.0,0,1,0,0,0,0,0
3,15,0.0,0.0,0,0,0,0,0,0,1
4,15,0.0,0.0,0,0,0,0,0,0,1
5,15,0.0,0.0,0,0,1,0,1,0,0
6,15,0.0,0.0,0,1,0,1,0,1,0
7,15,0.0,0.0,0,0,0,0,0,0,1
8,15,0.0,0.0,0,0,1,0,1,0,1
9,15,0.0,0.0,0,0,0,0,0,0,0
1,16,0.0,0.0,0,0,1,0,0,0,0
2,16,0.0,0.0,1,0,0,0,0,0,1
3,16,0.0,0.0,0,0,0,0,0,1,0
4,16,0.0,0.0,0,0,0,0,0,1,0
