spatial id,temporal id,Target (normal),Normal target,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
1,5,1.0,1.0,1,0,0,1,1
2,5,0.0,0.0,1,1,0,0,1
5,5,0.0,0.0,0,0,0,0,0
6,5,0.0,0.0,1,1,0,1,0
1,6,1.0,1.0,0,0,1,1,0
2,6,1.0,1.0,1,0,0,1,0
5,6,0.0,0.0,0,0,0,0,0
6,6,1.0,1.0,1,0,1,0,1
1,7,0.0,0.0,0,1,1,0,1
2,7,0.0,0.0,0,0,1,0,0
5,7,0.0,0.0,0,0,0,0,0
6,7,0.0,0.0,0,1,0,1,0
1,8,0.0,0.0,1,1,0,1,1
2,8,1.0,1.0,0,1,0,0,1
5,8,0.0,0.0,0,0,0,0,0
6,8,1.0,1.0,1,0,1,0,1
1,9,0.0,0.0,1,0,1,1,0
2,9,0.0,0.0,1,0,0,1,0
5,9,1.0,1.0,0,0,0,0,0
6,9,0.0,0.0,0,1,0,1,0
1,10,1.0,1.0,0,1,1,0,0
2,10,0.0,0.0,0,0,1,0,1
5,10,0.0,0.0,0,0,0,0,0
6,10,1.0,1.0,1,0,1,0,1
1,11,0.0,0.0,1,1,0,0,0
2,11,0.0,0.0,0,1,0,1,0
5,11,1.0,1.0,0,0,0,0,1
6,11,0.0,0.0,0,1,0,1,0
1,12,0.0,0.0,1,0,0,0,1
2,12,0.0,0.0,1,0,1,0,0
5,12,0.0,0.0,0,0,0,1,0
6,12,1.0,1.0,1,0,1,0,1
1,13,0.0,0.0,0,0,0,1,0
2,13,0.0,0.0,0,1,0,0,0
5,13,0.0,0.0,0,0,1,0,1
6,13,0.0,0.0,0,1,0,1,0
1,14,0.0,0.0,0,0,1,0,0
2,14,1.0,1.0,1,0,0,0,0
5,14,0.0,0.0,0,1,0,1,0
6,14,1.0,1.0,1,0,1,0,1
1,15,0.0,0.0,0,1,0,0,0
2,15,1.0,1.0,0,0,0,0,0
5,15,1.0,1.0,1,0,1,0,0
6,15,0.0,0.0,0,1,0,1,0
1,16,1.0,1.0,1,0,0,0,0
2,16,0.0,0.0,0,0,0,0,1
5,16,0.0,0.0,0,1,0,0,0
6,16,1.0,1.0,1,0,1,0,1
1,17,0.0,0.0,0,0,0,0,0
2,17,0.0,0.0,0,0,0,1,1
5,17,0.0,0.0,1,0,0,0,1
6,17,0.0,0.0,0,1,0,1,0
1,18,0.0,0.0,0,0,0,0,1
2,18,0.0,0.0,0,0,1,1,0
5,18,0.0,0.0,0,0,0,1,0
6,18,1.0,1.0,1,0,1,0,1
1,19,1.0,1.0,0,0,0,1,0
2,19,0.0,0.0,0,1,1,0,0
5,19,1.0,1.0,0,0,1,0,0
6,19,1.0,1.0,0,1,0,1,0
1,20,0.0,0.0,0,0,1,0,0
2,20,0.0,0.0,1,1,0,0,0
5,20,1.0,1.0,0,1,0,0,0
6,20,1.0,1.0,1,0,1,0,1
1,21,0.0,0.0,0,1,0,0,1
2,21,0.0,0.0,1,0,0,0,0
5,21,0.0,0.0,1,0,0,0,1
6,21,1.0,1.0,0,1,0,1,1
1,22,1.0,1.0,1,0,0,1,0
2,22,0.0,0.0,0,0,0,0,0
5,22,0.0,0.0,0,0,0,1,1
6,22,1.0,1.0,1,0,1,1,1
1,23,0.0,0.0,0,0,1,0,0
2,23,0.0,0.0,0,0,0,0,0
5,23,0.0,0.0,0,0,1,1,0
6,23,0.0,0.0,0,1,1,1,1
1,24,0.0,0.0,0,1,0,0,1
2,24,1.0,1.0,0,0,0,0,0
5,24,0.0,0.0,0,1,1,0,0
6,24,0.0,0.0,1,1,1,1,1
1,25,0.0,0.0,1,0,0,1,0
2,25,0.0,0.0,0,0,0,0,0
5,25,1.0,1.0,1,1,0,0,0
6,25,1.0,1.0,1,1,1,1,0
1,26,0.0,0.0,0,0,1,0,0
2,26,0.0,0.0,0,0,0,0,1
5,26,0.0,0.0,1,0,0,0,0
6,26,1.0,1.0,1,1,1,0,0
1,27,1.0,1.0,0,1,0,0,0
2,27,0.0,0.0,0,0,0,1,0
5,27,0.0,0.0,0,0,0,0,1
6,27,0.0,0.0,1,1,0,0,1
1,28,0.0,0.0,1,0,0,0,0
2,28,0.0,0.0,0,0,1,0,0
5,28,0.0,0.0,0,0,0,1,0
6,28,0.0,0.0,1,0,0,1,1
1,29,0.0,0.0,0,0,0,0,1
2,29,0.0,0.0,0,1,0,0,0
5,29,0.0,0.0,0,0,1,0,0
6,29,0.0,0.0,0,0,1,1,0
1,30,1.0,1.0,0,0,0,1,0
2,30,0.0,0.0,1,0,0,0,0
5,30,0.0,0.0,0,1,0,0,0
6,30,0.0,0.0,0,1,1,0,0
1,31,1.0,1.0,0,0,1,0,0
2,31,1.0,1.0,0,0,0,0,0
5,31,1.0,1.0,1,0,0,0,0
6,31,1.0,1.0,1,1,0,0,0
1,32,1.0,1.0,0,1,0,0,1
2,32,0.0,0.0,0,0,0,0,0
5,32,0.0,0.0,0,0,0,0,0
6,32,0.0,0.0,1,0,0,0,0
1,33,0.0,0.0,1,0,0,1,1
2,33,0.0,0.0,0,0,0,0,1
5,33,1.0,1.0,0,0,0,0,1
6,33,1.0,1.0,0,0,0,0,1
1,34,1.0,1.0,0,0,1,1,1
2,34,0.0,0.0,0,0,0,1,0
5,34,1.0,1.0,0,0,0,1,0
6,34,0.0,0.0,0,0,0,1,0
1,35,0.0,0.0,0,1,1,1,0
2,35,0.0,0.0,0,0,1,0,0
5,35,0.0,0.0,0,0,1,0,1
6,35,1.0,1.0,0,0,1,0,1
1,36,1.0,1.0,1,1,1,0,1
2,36,0.0,0.0,0,1,0,0,0
5,36,0.0,0.0,0,1,0,1,1
6,36,1.0,1.0,0,1,0,1,0
1,37,0.0,0.0,1,1,0,1,0
2,37,0.0,0.0,1,0,0,0,0
5,37,0.0,0.0,1,0,1,1,0
6,37,0.0,0.0,1,0,1,0,1
1,38,0.0,0.0,1,0,1,0,1
2,38,0.0,0.0,0,0,0,0,0
5,38,1.0,1.0,0,1,1,0,0
6,38,1.0,1.0,0,1,0,1,1
1,39,0.0,0.0,0,1,0,1,0
2,39,0.0,0.0,0,0,0,0,0
5,39,1.0,1.0,1,1,0,0,0
6,39,1.0,1.0,1,0,1,1,0
1,40,1.0,1.0,1,0,1,0,0
2,40,1.0,1.0,0,0,0,0,0
5,40,1.0,1.0,1,0,0,0,1
6,40,1.0,1.0,0,1,1,0,1
1,41,0.0,0.0,0,1,0,0,0
2,41,0.0,0.0,0,0,0,0,0
5,41,0.0,0.0,0,0,0,1,1
6,41,0.0,0.0,1,1,0,1,1
1,42,0.0,0.0,1,0,0,0,1
2,42,0.0,0.0,0,0,0,0,1
5,42,0.0,0.0,0,0,1,1,1
6,42,1.0,1.0,1,0,1,1,1
1,43,1.0,1.0,0,0,0,1,0
2,43,0.0,0.0,0,0,0,1,0
5,43,0.0,0.0,0,1,1,1,0
6,43,1.0,1.0,0,1,1,1,0
1,44,1.0,1.0,0,0,1,0,0
2,44,0.0,0.0,0,0,1,0,0
5,44,0.0,0.0,1,1,1,0,0
6,44,1.0,1.0,1,1,1,0,1
1,45,0.0,0.0,0,1,0,0,1
2,45,0.0,0.0,0,1,0,0,0
5,45,0.0,0.0,1,1,0,0,0
6,45,1.0,1.0,1,1,0,1,1
1,46,1.0,1.0,1,0,0,1,1
2,46,0.0,0.0,1,0,0,0,0
5,46,1.0,1.0,1,0,0,0,0
6,46,0.0,0.0,1,0,1,1,1
1,47,1.0,1.0,0,0,1,1,0
2,47,0.0,0.0,0,0,0,0,0
5,47,0.0,0.0,0,0,0,0,0
