spatial id,temporal id,Target (normal),Normal target,occurrence t-9,occurrence t-8,occurrence t-7,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
1,10,0.0,0.0,1,0,0,1,1,0,1,1,0,0
2,10,0.0,0.0,1,1,0,0,1,0,0,1,0,1
5,10,0.0,0.0,0,0,0,0,0,0,0,0,0,0
6,10,0.0,0.0,1,1,0,1,0,1,0,1,0,1
1,11,0.0,0.0,0,0,1,1,0,1,1,0,0,0
2,11,0.0,0.0,1,0,0,1,0,0,1,0,1,0
5,11,0.0,0.0,0,0,0,0,0,0,0,0,0,1
6,11,1.0,1.0,1,0,1,0,1,0,1,0,1,0
1,12,1.0,1.0,0,1,1,0,1,1,0,0,0,1
2,12,0.0,0.0,0,0,1,0,0,1,0,1,0,0
5,12,1.0,1.0,0,0,0,0,0,0,0,0,1,0
6,12,1.0,1.0,0,1,0,1,0,1,0,1,0,1
1,13,0.0,0.0,1,1,0,1,1,0,0,0,1,0
2,13,0.0,0.0,0,1,0,0,1,0,1,0,0,0
5,13,1.0,1.0,0,0,0,0,0,0,0,1,0,1
6,13,1.0,1.0,1,0,1,0,1,0,1,0,1,0
1,14,0.0,0.0,1,0,1,1,0,0,0,1,0,0
2,14,0.0,0.0,1,0,0,1,0,1,0,0,0,0
5,14,0.0,0.0,0,0,0,0,0,0,1,0,1,0
6,14,1.0,1.0,0,1,0,1,0,1,0,1,0,1
1,15,1.0,1.0,0,1,1,0,0,0,1,0,0,0
2,15,0.0,0.0,0,0,1,0,1,0,0,0,0,0
5,15,0.0,0.0,0,0,0,0,0,1,0,1,0,0
6,15,1.0,1.0,1,0,1,0,1,0,1,0,1,0
1,16,0.0,0.0,1,1,0,0,0,1,0,0,0,0
2,16,0.0,0.0,0,1,0,1,0,0,0,0,0,1
5,16,0.0,0.0,0,0,0,0,1,0,1,0,0,0
6,16,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1,17,0.0,0.0,1,0,0,0,1,0,0,0,0,0
2,17,1.0,1.0,1,0,1,0,0,0,0,0,1,1
5,17,0.0,0.0,0,0,0,1,0,1,0,0,0,1
6,17,0.0,0.0,1,0,1,0,1,0,1,0,1,0
1,18,0.0,0.0,0,0,0,1,0,0,0,0,0,1
2,18,0.0,0.0,0,1,0,0,0,0,0,1,1,0
5,18,1.0,1.0,0,0,1,0,1,0,0,0,1,0
6,18,1.0,1.0,0,1,0,1,0,1,0,1,0,1
1,19,0.0,0.0,0,0,1,0,0,0,0,0,1,0
2,19,0.0,0.0,1,0,0,0,0,0,1,1,0,0
5,19,0.0,0.0,0,1,0,1,0,0,0,1,0,0
6,19,1.0,1.0,1,0,1,0,1,0,1,0,1,0
1,20,1.0,1.0,0,1,0,0,0,0,0,1,0,0
2,20,0.0,0.0,0,0,0,0,0,1,1,0,0,0
5,20,0.0,0.0,1,0,1,0,0,0,1,0,0,0
6,20,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1,21,0.0,0.0,1,0,0,0,0,0,1,0,0,1
2,21,0.0,0.0,0,0,0,0,1,1,0,0,0,0
5,21,0.0,0.0,0,1,0,0,0,1,0,0,0,1
6,21,0.0,0.0,1,0,1,0,1,0,1,0,1,1
1,22,0.0,0.0,0,0,0,0,0,1,0,0,1,0
2,22,0.0,0.0,0,0,0,1,1,0,0,0,0,0
