spatial id,temporal id,Target (normal),Normal target,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
4,6,0.0,0.0,0,0,0,0,0,0
7,6,0.0,0.0,0,0,0,0,0,1
8,6,0.0,0.0,0,0,0,0,0,0
9,6,0.0,0.0,0,0,0,0,0,0
4,7,0.0,0.0,0,0,0,0,0,0
7,7,0.0,0.0,0,0,0,0,1,0
8,7,0.0,0.0,0,0,0,0,0,0
9,7,0.0,0.0,0,0,0,0,0,0
4,8,0.0,0.0,0,0,0,0,0,0
7,8,0.0,0.0,0,0,0,1,0,0
8,8,1.0,1.0,0,0,0,0,0,0
9,8,0.0,0.0,0,0,0,0,0,0
4,9,0.0,0.0,0,0,0,0,0,0
7,9,0.0,0.0,0,0,1,0,0,0
8,9,0.0,0.0,0,0,0,0,0,0
9,9,0.0,0.0,0,0,0,0,0,0
4,10,0.0,0.0,0,0,0,0,0,0
7,10,0.0,0.0,0,1,0,0,0,0
8,10,1.0,1.0,0,0,0,0,0,0
9,10,0.0,0.0,0,0,0,0,0,0
4,11,0.0,0.0,0,0,0,0,0,0
7,11,0.0,0.0,1,0,0,0,0,0
8,11,0.0,0.0,0,0,0,0,0,1
9,11,0.0,0.0,0,0,0,0,0,0
4,12,1.0,1.0,0,0,0,0,0,0
7,12,1.0,1.0,0,0,0,0,0,0
8,12,1.0,1.0,0,0,0,0,1,0
9,12,0.0,0.0,0,0,0,0,0,0
4,13,0.0,0.0,0,0,0,0,0,0
7,13,1.0,1.0,0,0,0,0,0,0
8,13,1.0,1.0,0,0,0,1,0,1
9,13,0.0,0.0,0,0,0,0,0,0
4,14,1.0,1.0,0,0,0,0,0,0
7,14,0.0,0.0,0,0,0,0,0,0
8,14,0.0,0.0,0,0,1,0,1,0
9,14,0.0,0.0,0,0,0,0,0,0
4,15,0.0,0.0,0,0,0,0,0,1
7,15,0.0,0.0,0,0,0,0,0,1
8,15,0.0,0.0,0,1,0,1,0,1
9,15,0.0,0.0,0,0,0,0,0,0
4,16,0.0,0.0,0,0,0,0,1,0
7,16,0.0,0.0,0,0,0,0,1,1
8,16,0.0,0.0,1,0,1,0,1,1
9,16,0.0,0.0,0,0,0,0,0,0
4,17,0.0,0.0,0,0,0,1,0,1
7,17,0.0,0.0,0,0,0,1,1,0
8,17,1.0,1.0,0,1,0,1,1,0
9,17,0.0,0.0,0,0,0,0,0,0
4,18,0.0,0.0,0,0,1,0,1,0
7,18,0.0,0.0,0,0,1,1,0,0
8,18,0.0,0.0,1,0,1,1,0,0
9,18,0.0,0.0,0,0,0,0,0,0
4,19,0.0,0.0,0,1,0,1,0,0
7,19,0.0,0.0,0,1,1,0,0,0
8,19,0.0,0.0,0,1,1,0,0,0
9,19,0.0,0.0,0,0,0,0,0,0
4,20,0.0,0.0,1,0,1,0,0,0
7,20,0.0,0.0,1,1,0,0,0,0
8,20,0.0,0.0,1,1,0,0,0,1
9,20,0.0,0.0,0,0,0,0,0,0
4,21,0.0,0.0,0,1,0,0,0,0
7,21,0.0,0.0,1,0,0,0,0,0
8,21,0.0,0.0,1,0,0,0,1,0
9,21,0.0,0.0,0,0,0,0,0,0
4,22,0.0,0.0,1,0,0,0,0,0
7,22,0.0,0.0,0,0,0,0,0,0
8,22,0.0,0.0,0,0,0,1,0,0
9,22,0.0,0.0,0,0,0,0,0,0
4,23,0.0,0.0,0,0,0,0,0,0
7,23,0.0,0.0,0,0,0,0,0,0
8,23,0.0,0.0,0,0,1,0,0,0
9,23,0.0,0.0,0,0,0,0,0,0
4,24,0.0,0.0,0,0,0,0,0,0
7,24,0.0,0.0,0,0,0,0,0,0
8,24,0.0,0.0,0,1,0,0,0,0
9,24,0.0,0.0,0,0,0,0,0,0
4,25,0.0,0.0,0,0,0,0,0,0
7,25,0.0,0.0,0,0,0,0,0,0
8,25,0.0,0.0,1,0,0,0,0,0
9,25,0.0,0.0,0,0,0,0,0,0
4,26,0.0,0.0,0,0,0,0,0,0
7,26,0.0,0.0,0,0,0,0,0,0
8,26,0.0,0.0,0,0,0,0,0,0
9,26,0.0,0.0,0,0,0,0,0,0
4,27,0.0,0.0,0,0,0,0,0,0
7,27,0.0,0.0,0,0,0,0,0,0
8,27,0.0,0.0,0,0,0,0,0,0
9,27,0.0,0.0,0,0,0,0,0,0
4,28,0.0,0.0,0,0,0,0,0,0
7,28,0.0,0.0,0,0,0,0,0,0
8,28,0.0,0.0,0,0,0,0,0,0
9,28,0.0,0.0,0,0,0,0,0,0
4,29,0.0,0.0,0,0,0,0,0,0
7,29,0.0,0.0,0,0,0,0,0,0
8,29,0.0,0.0,0,0,0,0,0,0
9,29,0.0,0.0,0,0,0,0,0,0
4,30,0.0,0.0,0,0,0,0,0,0
7,30,0.0,0.0,0,0,0,0,0,0
8,30,0.0,0.0,0,0,0,0,0,0
9,30,0.0,0.0,0,0,0,0,0,0
4,31,0.0,0.0,0,0,0,0,0,0
7,31,0.0,0.0,0,0,0,0,0,0
8,31,0.0,0.0,0,0,0,0,0,0
9,31,0.0,0.0,0,0,0,0,0,0
4,32,0.0,0.0,0,0,0,0,0,0
7,32,0.0,0.0,0,0,0,0,0,0
8,32,0.0,0.0,0,0,0,0,0,0
9,32,0.0,0.0,0,0,0,0,0,0
4,33,0.0,0.0,0,0,0,0,0,0
7,33,0.0,0.0,0,0,0,0,0,0
8,33,0.0,0.0,0,0,0,0,0,0
9,33,0.0,0.0,0,0,0,0,0,0
4,34,0.0,0.0,0,0,0,0,0,0
7,34,0.0,0.0,0,0,0,0,0,0
8,34,0.0,0.0,0,0,0,0,0,0
9,34,0.0,0.0,0,0,0,0,0,0
4,35,0.0,0.0,0,0,0,0,0,0
7,35,0.0,0.0,0,0,0,0,0,0
8,35,0.0,0.0,0,0,0,0,0,0
9,35,0.0,0.0,0,0,0,0,0,0
4,36,0.0,0.0,0,0,0,0,0,0
7,36,0.0,0.0,0,0,0,0,0,0
8,36,0.0,0.0,0,0,0,0,0,0
9,36,0.0,0.0,0,0,0,0,0,0
4,37,0.0,0.0,0,0,0,0,0,0
7,37,0.0,0.0,0,0,0,0,0,0
8,37,0.0,0.0,0,0,0,0,0,0
9,37,0.0,0.0,0,0,0,0,0,0
4,38,0.0,0.0,0,0,0,0,0,0
