month ID,sub-region ID,occurrence
1,1,1
1,2,1
1,5,0
1,6,1
2,1,0
2,2,1
2,5,0
2,6,1
3,1,0
3,2,0
3,5,0
3,6,0
4,1,1
4,2,0
4,5,0
4,6,1
5,1,1
5,2,1
5,5,0
5,6,0
6,1,0
6,2,0
6,5,0
6,6,1
7,1,1
7,2,0
7,5,0
7,6,0
8,1,1
8,2,1
8,5,0
8,6,1
9,1,0
9,2,0
9,5,0
9,6,0
10,1,0
10,2,1
10,5,0
10,6,1
11,1,0
11,2,0
11,5,1
11,6,0
12,1,1
12,2,0
12,5,0
12,6,1
13,1,0
13,2,0
13,5,1
13,6,0
14,1,0
14,2,0
14,5,0
14,6,1
15,1,0
15,2,0
15,5,0
15,6,0
16,1,0
16,2,1
16,5,0
16,6,1
17,1,0
17,2,1
17,5,1
17,6,0
18,1,1
18,2,0
18,5,0
18,6,1
19,1,0
19,2,0
19,5,0
19,6,0
20,1,0
20,2,0
20,5,0
20,6,1
21,1,1
21,2,0
21,5,1
21,6,1
22,1,0
22,2,0
22,5,1
22,6,1
23,1,0
23,2,0
23,5,0
23,6,1
24,1,1
24,2,0
24,5,0
24,6,1
25,1,0
25,2,0
25,5,0
25,6,0
26,1,0
26,2,1
26,5,0
26,6,0
27,1,0
27,2,0
27,5,1
27,6,1
28,1,0
28,2,0
28,5,0
28,6,1
29,1,1
29,2,0
29,5,0
29,6,0
30,1,0
30,2,0
30,5,0
30,6,0
31,1,0
31,2,0
31,5,0
31,6,0
32,1,1
32,2,0
32,5,0
32,6,0
33,1,1
33,2,1
33,5,1
33,6,1
34,1,1
34,2,0
34,5,0
34,6,0
35,1,0
35,2,0
35,5,1
35,6,1
36,1,1
36,2,0
36,5,1
36,6,0
37,1,0
37,2,0
37,5,0
37,6,1
38,1,1
38,2,0
38,5,0
38,6,1
39,1,0
39,2,0
39,5,0
39,6,0
40,1,0
40,2,0
40,5,1
40,6,1
41,1,0
41,2,0
41,5,1
41,6,1
42,1,1
42,2,1
42,5,1
42,6,1
43,1,0
43,2,0
43,5,0
43,6,0
44,1,0
44,2,0
44,5,0
44,6,1
45,1,1
45,2,0
45,5,0
45,6,1
46,1,1
46,2,0
46,5,0
46,6,1
47,1,0
47,2,0
47,5,0
47,6,1
48,1,1
48,2,0
48,5,1
48,6,0
49,1,1
49,2,0
49,5,0
49,6,0
50,1,1
50,2,0
50,5,1
50,6,0
51,1,0
51,2,0
51,5,0
51,6,0
52,1,0
52,2,0
52,5,0
52,6,0
53,1,0
53,2,0
53,5,0
53,6,1
54,1,1
54,2,0
54,5,1
54,6,1
55,1,0
55,2,0
55,5,1
55,6,0
56,1,0
56,2,1
56,5,1
56,6,1
57,1,1
57,2,0
57,5,1
57,6,0
58,1,1
58,2,0
58,5,0
58,6,1
59,1,0
59,2,1
59,5,0
59,6,1
60,1,0
60,2,0
60,5,0
60,6,1
61,1,0
61,2,1
61,5,0
61,6,1
62,1,1
62,2,0
62,5,0
62,6,1
63,1,1
63,2,0
63,5,0
63,6,1
64,1,1
64,2,1
64,5,0
64,6,1
65,1,1
65,2,1
65,5,0
65,6,0
66,1,1
66,2,1
66,5,0
66,6,0
67,1,1
67,2,1
67,5,0
67,6,1
68,1,0
68,2,0
68,5,0
68,6,1
69,1,0
69,2,0
69,5,0
69,6,0
70,1,0
70,2,0
70,5,1
70,6,1
71,1,0
71,2,0
71,5,1
71,6,0
72,1,1
72,2,1
72,5,1
72,6,1
73,1,1
73,2,0
73,5,0
73,6,0
74,1,0
74,2,0
74,5,0
74,6,0
75,1,1
